label,text
Address,Property Location 1448 Balsam Fir Boulevard 6206 Misty View Dr. 5107 Shady Ave. 8235 McMullen Creek blvd. 4113 Mount Vernon Street 8957 Whispering Willow Avenue 4923 Hanover South blvd. 5095 Amberly Boulevard 4953 Leafcrest Rd. 6638 Hampton Oaks Dr. 9728 Loblolly Boulevard 3039 Wright Rd. 6517 Meadowcrest Way 5780 Robin Terry Road 8663 Billingsville School Street 3783 Hanna Way 
Units,#units 474 621 
Units,213 844 245 20 963 182 746 739 328 623 692 803 424 
State,NJ AL OR Guam AK Arizona Tennessee MS AZ Nebraska ME NC 
State,Oregon Oklahoma Nebraska New Jersey Guam Arkansas GU CO CO MA OR KS 
Units,306 36 103 504 562 685 50 412 810 
Address,475 Alice McGinn 815 Walden Ridge 1251 Cane Creek 2227 Sagamore 6795 Goneaway 6029 Belcaro 5905 Joshua 3974 Lanecrest 
City,City Delchester E 33rd Smooth Rock Trotter 
City,Fernhill 
State,IL Vermont CZ PR IL OK DE Mississippi South Carolina Georgia NM South Dakota North Carolina NV Nebraska New Hampshire South Carolina 
City,City Streatham Burch Shafter Mountainbrook 
Address,2714 Brock Road 8379 Brockton Street 3351 Gum rd. 747 Sterling Magnolia Ct Rd. 1656 Wynborough Boulevard 6437 Harris Avenue 4108 Cameron Oaks Avenue 5622 Tyrone Street 8553 Sellars Circle 2411 Cedar Grove Dr. 5579 Prince Edward Circle 5189 Hungerford Dr. 3799 Harding Oaks Way 7216 Effingham rd. 3896 Spector Road 9833 Presmann Drive 
State,New Mexico Utah Nebraska Colorado DE Alabama NC Wisconsin UT 
Address,1513 Heflin 2384 Belmeade Green 4155 Olmsted 7574 Lakeview 8939 Winds Crossing 4550 Westgrove 6982 Dayan 515 Axson 8162 Oxford Hill 7228 Oakbluff 858 Meadowlark Landing 6755 Deherradora 9130 Tate 
State,State New Hampshire Virginia WA MA Indiana CZ Georgia New York RI North Dakota Alaska Alaska DC Iowa SD OR HI Maryland South Dakota North Dakota South Carolina MN ID NC Connecticut 
State,PR South Carolina California MN New Jersey South Dakota Alaska NE WY Utah TN 
Address,2536 Vinton 607 Calpella 7301 Gum Tree 8958 John Gladden 3857 Rebecca Run 8123 Dumbarton 8788 Brookside 5568 Kings Castle 6047 Balvenie 784 Vera 4649 Bitterroot 5599 Honeycomb 8030 N Tryon 6709 Brookgreen 
Units,256 798 85 651 253 454 351 846 
Units,749 427 935 641 275 236 825 694 573 490 306 536 907 974 660 
State,RI NV Wisconsin Alabama IL 
Address,9756 Weststone Circle 2249 Brim Avenue 3830 Berkeley Rd. 1810 Rotherham rd. 6248 Aqua Avenue 
Address,7876 Whiteburn rd. 
State,State MN New Hampshire Guam South Carolina Washington 
City,Crosshaven Marshall Marigol Tuckerbunn 
Address,6102 Dewitt Ave. 5916 Stardust Circle 9328 Charles Crawford Boulevard 5856 Hawick Valley Avenue 68 Olde Turnbury Ave. 4258 Tiffany Rose Rd. 970 Foster Avenue 8422 Rocky River rd. 2592 Dusty Cedar Circle 
Address,1950 Hoskins Avenue Avenue 6695 Water Mill Way 7831 Windsor Crescent Avenue 4524 Taggert Trail blvd. 3775 Westmoreland Avenue 7789 E 34th Dr. 9223 Quail Acres Way 9304 Atchinson Avenue 7026 Hubbard Circle 8107 Winding River Road 9397 Carrolwood Dr. 1894 Wilford blvd. 3028 Old Course blvd. 6803 Carver Pond Ave. 5924 Loretta Way 2348 W 2nd Boulevard 2439 Elm Tree Street 7556 Dilworth Heights Circle 235 Bournewood St. 4024 Old Well House Avenue 2817 Stering Magnolia Ct Road 
Address,3130 Steve Chapman Circle 6904 Torrington St. 1326 Brightleaf St. 7268 E Lake rd. 6006 Durness Street 6634 Ashton Gate Way 7966 Black Kettle rd. 
City,Town Morablin Rosecroft Libeth Holburn Kingsley Ivey Creek Wallace Tiger Steele Meadow Buck Beechdale E 37th Coldstream Alydar Freeland James Capps Woodland Fowler Springs Green Gardens Hadrian 
Address,75 Wexford 3138 Berry Ridge 3204 Idlewild 3401 Twin Ridge 8532 Twill 1122 Cristina 3545 Wingdale 2559 Greencreek 200 Mollys 8385 Hedingham 260 E 16th 8404 Rose Taupe 9599 Kirkview 
Address,707 N Colonial Way 2731 Grasmere Ave. 3882 Wiseman Way 1860 Flat Stone St. 2983 Quail Chase Circle 2101 Foxcroft Woods Street 2463 Silver Dart Dr. 
Units,273 74 230 400 868 590 649 933 809 379 424 29 916 946 644 272 157 210 28 997 75 760 199 
State,CT NM NC Colorado WV GA ID Puerto Rico Utah NM 
City,Cassio Brotherly Rocky Trail Greenway Industrial Johnnette Crown Colony Bluebonnet Plover Alrose Insley Tartan Green Amity Pointe Valencia Copper McDonald Dunbrook 
City,Town Alexander Newchurch Piney Path Whitewater 
Address,9366 Lannier Falls Dr. 8215 Edgemore Rd. 8041 Evergreen Road 4690 Harbor Estate Boulevard 8418 Medallion Boulevard 8648 Fuller Drive 4511 Drenan Way 4697 Tillman Boulevard 4586 Pipestone Way 8746 Persimmon Tree Dr. 7786 Park South Circle 4269 Willow Branch Drive 6025 Dellinger blvd. 5807 Colvard Park Ave. 7074 Willowbrae Circle 9543 Easthaven St. 6018 Gallatin Ave. 
City,Timber Lake Clancy Cliveden Avenue Rutgers Out of Bounds Chalkbark Lassen Bay Glenover Dowington Brownstone View Landover Barcliff Huntland Pierson Blue Aster Cobble Glen E 15th Dartmoor Beddingfield Berry Miller Creek Park Casper Beachmont 
State,State Tennessee AZ MS IA IL South Dakota GA North Carolina Guam PR NH Vermont Alaska VT South Carolina Georgia Indiana Mississippi Mississippi OK Puerto Rico 
Units,127 527 483 945 525 407 639 510 996 156 922 471 856 78 335 646 859 995 
Units,Unit Count 803 868 25 627 840 519 407 794 24 605 282 552 602 962 26 117 450 215 
City,Town Greenlawn Hills Rhododendron McMahan Eli Terry Dean Cassamia Tabor Beacon Forest Belknap Ogden Holly Park Counts 
City,Barr Westham Ridge Suffield Lipton Dolat Eastbourne Woodfire Old Willow Calloway 
Address,Street Location 4249 Daleview rd. 8383 Olivet St. 9511 Pond Vista rd. 1147 Edgewood Grove rd. 8064 Bookwalter Circle 1290 Datha Road 8463 John Russell Drive 9508 Brawley St. 6426 Romany Road 8923 Essex Street 8420 Parkmont Rd. 6570 Berkeley Forest Dr. 1018 Sheffeild Park St. 9998 Nevin Place Way 2334 Kingman Way 8216 Branchview blvd. 
Address,3481 Amber Leigh Way Rd. 3703 Chadsford Drive 5499 Dodge Avenue 4860 Summer Darby Street 5211 Stewarts Bend Way 9170 Plantation rd. 
City,Egret Juliette Low Township Wild Berry Sheryl Peaceful Glen Jamison Place Greene Seneca Weddington Longstraw Pine Island One Woodlake Leghorn Winslow Bunker Hill Monticello Bent Creek Honeywood Provence Village 
Units,# of Units 975 190 877 825 934 677 935 991 810 322 463 14 763 365 159 
City,Old Steele Creek Bonnybrook Bearwood Bryanstone Getaway Meadowbrook 
Units,292 393 434 259 790 197 576 82 974 440 240 75 463 814 852 234 583 370 429 
Units,596 92 363 836 67 702 937 84 934 938 330 854 731 694 464 244 157 963 55 592 
Units,994 417 879 179 839 120 658 33 842 193 985 899 932 427 936 768 752 265 
State,SD Wisconsin Minnesota Georgia MT South Carolina Maine Tennessee South Carolina VI Nevada North Carolina 
Units,#units 257 765 963 675 760 873 769 965 711 717 945 
Units,475 871 735 83 909 166 671 
City,Rothman Cosby Free Bird English Elm Beaver Brook Willhill Pine Chapel Shady Bark Brandon Adlin Ashridge Generations 
State,OK NV NY Alabama Delaware Oregon Michigan Puerto Rico IL KS Mississippi SC CO MS NC CA HI TX 
State,State Utah Connecticut Maryland GU Utah Tennessee MS MT Vermont Louisiana Rhode Island IA South Carolina North Carolina Arizona Puerto Rico GU 
Units,933 199 861 18 759 524 550 413 396 95 966 817 139 61 478 252 312 864 643 879 867 
State,State Arkansas Illinois Alabama Georgia LA NY Maryland KS TN MN MD Pennsylvania ID New Hampshire Oklahoma NM NH Minnesota WI NE OH Rhode Island 
State,Connecticut Idaho NM Kentucky California NY VT Montana TN District of Columbia Mississippi PR OH Hawaii CZ NH Kansas MI AK PA New Mexico 
State,New York Tennessee Georgia CZ AR Texas WV VT ND Utah ID North Dakota CO Nevada HI Georgia Michigan 
City,Colchester Kenlauren Ordermore Chiswick Tewkesbury 
City,W 4th Street Elm Forest 
Address,3836 Wayt Rd. 3424 Tall Tree Rd. 1561 Acadian Woods Boulevard 1139 W 4th Drive 4437 St Clair Drive 868 Oakmint Rd. 6083 Unaka Dr. 8406 Lakeridge Commons Drive 3753 Lovett Boulevard 4706 University Commercial Rd. 7374 Sheppard Road 8477 Beechbrooke Street 9765 Royal Tree Ave. 8649 Addington Boulevard 968 Sweet Sage Way 9933 Bc Road 2514 Rockwood Drive 6394 Armory Way 8603 Dawndeer Rd. 7334 Rosewood Way 525 Rigsby Rd. 7828 Willow Haven Drive 6796 Rock Springs Ave. 718 Bellflower Street 
Units,#units 548 917 179 296 422 133 681 870 706 648 52 722 605 131 
Address,3431 Stering Magnolia Ct 9094 Wilkins Terrace 533 Thamesmead 6007 Mocassin 3666 E 26th 7582 Noras Path 1102 S Cedar 6622 Fullerton 8859 Ashford Leigh 8807 Clairemore 751 Sobeck 8026 Camberwell 3378 Belcross 3762 Kerr 6417 Mark Twain 2316 Lawing School 8240 Television 632 Stonemark 6931 Guest House 6553 Sofia 9217 Kempton 7698 E 3rd 8933 Lamoille 4359 Lannier Falls 9526 Gaston 
State,Montana Texas OR CA OK Maryland Vermont GA Tennessee NV Puerto Rico UT 
State,OK South Dakota TN IA Virgin Islands Alaska 
State,Missouri AR North Carolina Iowa AR Massachusetts Connecticut AK Puerto Rico Wisconsin 
City,Vermel Magnolia Woods Holly Fairways Club Cloverside Dove Tree Sydenham Waverly Hall Gifford Park 
State,TX Illinois Idaho New Mexico SD VI Wyoming TN Massachusetts ME New Mexico Illinois Oregon Arizona MI 
Units,861 11 928 720 413 827 933 868 155 936 310 381 991 106 455 
City,Seton House Iredell Chapultepec Sunlit Waneden Island Park Arundel Sonata Garth Wood Austin Samuel Oriole Gum 
City,Kiftsgate Wednesbury W 7th 
City,Rittenhouse Clayford Four Farms Sultana Coble Broad Hollow Wildburne Olsen Trapper Joe Grantwood Parsifal Lahinch Chapultepec Kirkstone Bur Oak Birdsong Broadwater Swinstead Waterton Leas Farm Pond Channing Brazos Spruce N Canterbury 
Address,1610 Towton Boulevard 859 Germaine Ave. 1 Boulware rd. 2434 Gunston Boulevard 2178 Bulfinch Circle 7317 Lake St. 3131 Hensey's Circle 5527 Hawk Shadow blvd. 7430 Raindance Street 1207 Dewey Puckett Dr. 1967 Hughes St. 9895 Cord Wood Road 8752 Glen Shadow Dr. 8210 Peligreni blvd. 9561 Salt Box rd. 5887 Lumina Rd. 3235 Neon Boulevard 5861 Flint Glenn Way 6274 Old Steele Creek Dr. 4682 Carastan Drive 4564 Isabella Boulevard 134 Harrington Woods Avenue 4700 Harmony Glen Rd. 7469 Mary Ann Road 1412 Poppy Hills Way 
City,Merrie Rose Seton House Honegger Winners Pine Valley Club Goldsmith Dalmoor Brogan Lyon 
Units,616 79 
Units,#units 752 949 968 105 510 947 
Address,Street Location 630 Jardiniere Avenue 2266 Amberly Ave. 9469 Ashley rd. 1151 Windrift Drive 4613 Harrisonwoods Way 1507 Bethany Avenue 8093 Ridgebrook rd. 2156 Marbetta Ave. 9321 Parkton blvd. 6925 Humphrey blvd. 7170 Kelburn Road 
Units,# of Units 266 883 828 30 393 156 144 880 
City,City Mapleleaf Caldwell Park Cairnsmore Willilyn Glen Forest Mattoon Saddle Run Nickleby Ringtail Fallon Farm S Rensselaer Mitchell Grant Long Cove Potenza N Alexander Preservation Park Bardstown Garden Grove Society 
Address,9659 Point Lake Street 318 Loch Arbor Street 1068 Rabbits Foot Way 7005 White Moon Dr. 6130 Apple Mint Street 6246 Springwood Road 8532 Macanthra rd. 2030 Walker Branch rd. 8794 Wrangler Trail Drive 947 Glencroft Boulevard 
City,Tara Oaks Highview Spring Ridge Beaver Brook William Ficklen Princess Ann Starita Point Lake Pennant Kelsey Woods Aycock Shocco Fountaingrass Atwater Running Ridge Havencrest Center Delrose Windy Grove 
Address,1792 Conifer Circle 8884 Appley Mead Road 1536 Stratford Park Drive 9057 Goldsmith Rd. 3834 Moreland blvd. 4770 Thrift Circle 2796 Rockhaven Dr. 5299 Royston Ave. 7475 Stonepath Boulevard 3745 Butternut Way 4776 Scorpio Drive 1868 Timber Springs Ave. 7225 Herring Gull Street 173 Kendall St. 7214 Carey Rd. 8569 Scott Drive 9652 Cardigan Way 
State,MI Iowa PR Kentucky 
City,Town Dove Meadow Fatima Lido Smith Sulky Plough McKenzie Creek Yellow Rose Green Fairway Lyleton Wondering Oak Kronos Colony Oaks Cedar Walk Nobber Brandon Trail Carter Creek Morning Mist Alderwood Boham Baleville Kipperly 
State,GU Indiana New York Oregon NV Nebraska ND NM Oregon PA OR GU Minnesota LA Michigan Pennsylvania New Hampshire MI Georgia WV MN LA WY Arizona 
State,State NY TN WI NV HI NH OK Minnesota Ohio 
City,Ingelow Skipton Forest Gate Out of Bounds Lindfield Sentry Post Hankins Haddington Henderson Valley Winslow Green Brianna Fringe Tree Fesbrook Westhampton Marble Hill Durston 
City,Rustlewood Warwick Crest Royston Magnolia Bridge Queens Road Hezekiah Poolside Judas Tree Oak Dogwood Ridge Spring Garden Trillium Saddlehorse Sky Carmel Acres Gum Branch Hounslow Golspie 
Units,725 781 326 673 645 211 
Address,3287 Superior blvd. 8919 Bentway Boulevard 3325 Dennis Dr. 
State,Mississippi Maine Rhode Island ME 
City,Town Knoll Ridge Boyd Cove Marcus Longwood Blackburn Lemon Tree Milford Waterfall Easy Gaston River Lure William Penn Greymore Lemongrass Red Snow Rutland Houndstooth Tullock Creek McClintock Cathey Turnbridge Greenway Industrial Greencrest Candler 
State,NJ UT MT MS Maine VT 
State,LA Arkansas Vermont ND MI 
City,Cozen Soaring Eagle Corinth Bc Bankston Barn Stone Carrington Hill Peterlee Enoch Bobby Wrens Nest Thorncliff Cabell View Beauvista Oak Pond Joy Kew Gardens Lamar Northridge Village Vista Haven Brynwood 
Units,#units 184 290 
State,DC MT Kentucky 
Address,Street Location 4086 N Graham Avenue 5104 Jarmon Street 573 Fairchild Boulevard 7732 W 2nd Circle 
City,Akram 
City,McAlway N Clarkson 
Address,8088 Carmel Park Boulevard 5539 Paschall Avenue 1598 Atmore Drive 2244 Congressional Club rd. 
City,Green Ivy Williamson Provincetowne Piaffe Clearview Romany Shady Bluff Tangle Hatton Cross Kingsbury Rutgers Kapheim Irish Johnson Essex Rocky River Road Saylor Block House Shadow Pine 
Units,109 478 643 678 987 98 690 
Units,Number of Units 237 772 98 573 115 975 644 
Address,Location 5930 Tahoe Dr. 3293 Johnny Reb blvd. 9222 Pathenon blvd. 3902 Summer Meadow Boulevard 1780 Cozumel Ave. 7110 Ellison Avenue 6286 Fairdale Circle 3643 Slatewood Boulevard 7206 Walnut Creek Drive 1480 del Rio Road 3875 Viewmont Road 
City,City Cozumel Lahinch Woodland Farm Driwood NE Feldbank McCallum Candle Valerian Flowe Eastport Fairway Vista Greenwood Eaton Woodstock Geneva Perth Emden Arbor Grove Coneflower Arbor Trace Princess Windchase Abner Pargo 
Units,221 466 340 263 45 151 956 479 52 408 195 503 240 280 228 971 76 
Units,586 634 24 
City,Gladstone Seneca Moncure Louis Rose Mary Alexander Dickie Ross Chesley Laurel Trace Leigh Monarda Russell 
State,HI GU Nebraska Arkansas Wyoming 
Address,8491 Jason St. 2144 Roundhouse Circle 1982 Green Cane St. 2877 Newtonmore Drive 537 Taranasay Street 5528 Farm Pond blvd. 2009 Eastbrook Circle 2069 Kensington Gardens blvd. 4900 Richardson Street 4540 Hobbitshire St. 6739 Gamton Ave. 
Units,# of Units 921 973 355 905 520 972 727 728 904 816 680 591 399 323 197 863 327 46 437 53 214 144 469 678 
Units,Units 377 8 550 517 938 145 
Units,949 309 387 565 762 575 47 178 900 822 2 923 642 2 720 149 403 974 919 735 962 455 204 583 485 
Units,# of Units 162 604 698 232 840 796 895 747 809 634 
City,Rachelwood Belford Fair Lawn Bartling Ellison 
State,State Guam SD PR SC Illinois Missouri NY Wyoming IL IA FL Virgin Islands Pennsylvania Pennsylvania CT Vermont NE MN Virgin Islands Ohio Ohio OH South Dakota SD 
Address,1774 King Louis Ave. 5975 Amrita Way 2126 Sandhurst St. 2440 Rensford Way 3943 Vinoy Avenue 9125 Forty Niner Road 4290 Little St. 4586 Sugar Oats Way 3452 New Hamlin rd. 3094 Coachford Street 8430 Biltmore Drive 6098 Pomerane Street 4945 Hyde Street 3436 Valleydale Rd. 4665 Dogwood Dr. 6514 Circlewood Boulevard 5030 Rustlewood blvd. 6336 Travelers Street 
City,Sleigh Bell Bainview Heathergate Bald Eagle 
State,State NE Guam New Hampshire Guam South Carolina Guam MD GA PR Hawaii WA NH New Jersey Oklahoma CZ Guam Michigan NJ Vermont 
Address,1731 Wood Dale Avenue 3553 Woodleaf rd. 6573 Morris Farm Drive 1927 Walton Dr. 8876 Fall Boulevard 9381 Wilkinson Road 536 Smooth Path St. 4576 Wheaton Pl rd. 7207 Alexander Street 5002 Park Lane Circle 
City,Town Whitmire Barnside Michaels Landing Shenandoah Round Rock Streator Landing Green Kirkstall Millbury Waterside Onyx Dove Tree Loganberry Penrose Whiteburn J W Clay Red Berry Hollybrook Chattaroy Orofino Old Sardis Rockhaven Howard Weaver Mill 
Units,50 756 402 24 501 765 762 805 
Units,53 34 902 169 765 12 96 562 
State,MT NV IA OH SD MO Missouri HI LA CA TN South Carolina Missouri New Mexico WY MO New Jersey Massachusetts MD Oklahoma CA NE Minnesota Iowa Kentucky 
Units,171 301 388 107 193 354 753 6 97 898 808 573 387 771 674 330 
Units,35 720 561 665 507 173 713 726 339 735 703 902 939 149 876 658 918 
State,Nevada OR GA DC Kentucky 
City,Orofino Old Stoney Creek Crosshill Waller Brookshire Peach Orchard Tendring Grassy Knob Short Hills Point O Woods Plowdon Hopedale Hoyt Hinson Malcolm Bon-Rea Greenvale Carmel Estates North Dakota 
City,Kilmarsh Hewitt Cheviot Waterfall Berkeley Greene Green Park Shadow Rock Oak Wild Garden Billy Graham Overland Park Pullengreen Blue Cedar Abbeydale Carderock W Park Gardner Pond 
State,State CZ Colorado Guam District of Columbia NC AK KY NC Maine NC Massachusetts SC District of Columbia CZ California GU 
State,State IA Nebraska Minnesota AZ Colorado DE NH MO OK Virginia GU Alaska Puerto Rico New Hampshire FL MA GA Delaware California MD NC 
Units,854 844 593 414 730 489 896 658 67 158 606 934 462 501 478 840 326 721 562 537 972 518 
State,OH AK Washington Colorado New Hampshire FL North Dakota New York IN UT Kansas Massachusetts Tennessee Michigan Tennessee Alaska Rhode Island NE Mississippi MD Michigan WI IL 
Units,709 922 
State,NV PA OR ND Texas WA NE PA OK Michigan California KY NM MO Washington North Carolina HI Guam Maryland MT NC Illinois FL OR 
State,State Rhode Island Virginia MT NH WI Hawaii IL SC Oregon ME California CZ WA 
State,State South Dakota Maine PR NY Florida Kentucky Maryland Tennessee Utah Guam VT Arizona VI NV FL Oregon MD Virgin Islands OH Maryland Rhode Island MN KS Guam 
State,Illinois Iowa MI DE Idaho UT KY Tennessee Indiana AZ Kentucky Nevada OH RI Illinois KY GU MO Colorado Nebraska NV 
State,State IN Kentucky Missouri NC KS California HI Kentucky Puerto Rico Virginia Kansas ND North Dakota Pennsylvania OR MI HI Delaware MI Guam Nevada Minnesota MA 
Address,Full Property Address 9127 Chalkstone blvd. 970 Waterford Creek Drive 
Units,240 129 240 18 736 446 893 211 594 857 997 401 610 232 81 299 296 360 358 864 356 377 947 417 
City,Kalis Ardley Manor Radner Withrow Coreopsis Coniston Airway Covewood Sweet Sage Cameron Valley Jarmon Calibre Crossing Mont Carmel Royal Oaks Mingus Cabin Otter Creek 
Address,8364 Louisburg Square Boulevard 5453 Allenbrook Street 7171 Hidden Ridge Circle 4659 Mount Mansfield Boulevard 3042 Langley rd. 6224 Pineland Boulevard 2579 Dove Stand Road 7257 Ligustrum blvd. 7950 Woodvalley blvd. 8919 Vance Davis St. 874 Scotney Bluff Avenue 378 Covewood Street 3615 Beverly Crest Street 5088 Potomac Road 9219 Sequoia Grove Boulevard 9638 Burkholder Street 8013 Brittmore Circle 
City,Kenilworth Crossridge Darnley Sidney Carelock Silver Maple Corradale McAlpine Farm Dameron Fireside Robs Jester Norland Greenwich Travis Floyd la Maison Morrowick Circle Robsart Winterhaven Hamlin Park Bellerive J Julian Weakly Admiral 
State,State RI ID ME 
State,State Kansas PR Indiana AR MD Iowa Puerto Rico MI TX IN MO Guam Idaho OK MD GA 
Address,3006 Kennel 3809 Lochness 1243 Forestbrook 5200 Ryan 3331 High Plains 79 Chatterbird 1910 Vagabond 5075 Forest Drive 406 Eagles Point 4640 Doblinway 9357 Evermoore 5713 Causeway 2463 Cerise 9106 Watermelon 4620 Willow Crossing 9020 Saint Johns Church 4616 Tema 897 Scots Bluff 1300 Forrest Rader 1419 Genevieve 3198 Carolina 7284 Hampton Gardens 4839 Eleanor 8597 US Highway 1714 Reedham 
City,Mendenhall Meadowview Hills Drawbridge 
Address,7736 Middleburg Boulevard 8493 Mona rd. 6091 Oleander Hill Dr. 3227 Emerald Fern Drive 3605 Trading St. 8499 High-Rise Avenue 2165 E Barden Dr. 3527 Burkhard Street 3735 Centennial Street 6577 Irving Dr. 3576 Paperbark Street 4055 Herman St. 3554 Oak Bend rd. 
City,Town Cary Ridge Longbow Deanna 
Units,891 560 166 898 487 895 27 
State,Connecticut WA Colorado OK WI NM Montana New Jersey IN CZ Colorado NV 
Units,493 123 127 998 535 712 422 329 558 337 821 
City,Pelorus Shady Bluff Marlette Summit Walk Markland Greenwood Quailrush Ann Arbor Camp Verde Fernbank Aycock Beaumont Pleasant Way Silvermere Clear Stream Dobson Shawnee Coyle Crossandra Tribecca Timber Hill Barrington Duncan Gardens Auten 
Address,1056 Olsen Street 3907 Rothmore View Way 1496 Lawing rd. 5857 Astor Hall Rd. 526 Leigh Road 6874 Clare Olivia Rd. 92 McCullers Road 4129 Grassy Knob Dr. 935 Coral Rose Dr. 1048 Stone Porch Avenue 7301 Piper St. 7637 Little Ave. 7250 Buchanan Circle 
Address,2033 Racquet Wood 4897 N Caldwell 
Address,5866 Woodknoll 5306 Brook 4204 Three Rivers 6547 Great Future 5411 Willow Valley 8545 Grasmere 9153 Pine Cape 1093 Marthas Ridge 46 Wynaire 2258 Ropley 626 Renner 9874 Pine Needle 8667 Leslie 2049 Welch 7852 Jensen 5462 Oakley 8232 Glaze 5260 Ayscough 6622 Augusta 1746 Casa Loma 830 Cloverleaf 3714 Madrid 6063 Bethel 6929 Spring Meadow 3323 Pathfinder 
City,Town Vision Old Forge Montezuma 
Units,681 65 667 973 703 503 702 95 999 703 215 960 140 603 694 557 783 235 452 503 668 947 
Address,4004 Rolette rd. 2040 Olivia Catherine Circle 8354 Tyler Brook Rd. 6485 Lucca St. 5173 Stripes Ave. 3687 Poplar Grove Street 926 Peachtree Avenue 4947 Euston St. 9424 Count Fleet St. 8454 Galardia St. 8882 Browne Circle 
State,State Kentucky SD ND 
Units,#units 648 
Address,4371 Palladium St. 9261 Birchcrest blvd. 9112 Elkwood Way 8250 Bridle Stone Circle 
City,Salute Somersworth Silverthorn Romany Blair The Slopes Apts Arborwood Harcourt Windsor Gate Union Tansy Peary Providence Court Bannock Abelwood Pitty Pat Hallam W Morehead Lawson S Davidson Harvest Hill 
Address,2129 Snowflake Boulevard 8420 Rally blvd. 1015 Johnny Reb Rd. 
Units,Units 125 776 906 660 86 641 204 929 937 
Address,Street Address 9186 Atlas Road 6600 Graywell St. 2921 New Mark Road 1712 N Davidson Street 1896 Carrington Oaks Street 60 Bristol Ford rd. 7939 Buckskin blvd. 3964 Crestwood rd. 9583 Idlewild Dr. 5161 Anthony Rd. 7808 Ardsley Circle 5554 Edwin Jones rd. 7814 Downy Birch Ave. 5520 Sunbeam blvd. 2655 Nancy Boulevard 3997 Mallard Landing Boulevard 6494 Pine Chapel Way 3346 Cedarbrook Dr. 
State,SD New Hampshire SC Minnesota LA VI PA Tennessee MA California 
City,Barnview Arrow Glendora Castle Garden Mistral Cranston Noda Summerour Woody Ridge Cypress Park Fuschia Piercy Woods Baltusrol Cedar Glen Joshua Tree Weston Woods N Cloudman Carmel Acres Gunn Bent Creek Hawk Roost Maycroft First Run Kinnairds 
Units,#units 156 745 984 595 264 269 663 979 776 341 953 22 653 310 863 33 484 263 520 962 
State,State WA CA AZ Nebraska Georgia AZ Maine HI SD MA RI Missouri UT 
Address,8730 Cranbrook Boulevard 2168 Sparrow Springs rd. 9276 Sleepy Hollow Drive 5788 Chestnut Ridge rd. 5512 Ranchwood St. 7794 Thousand Oaks Dr. 9494 Downing Street 6667 Sunbridge Road 2834 Rosemede Dr. 7581 St Lawrence St. 2722 Kenstead St. 1301 Verde Boulevard 1159 Ansted Way Street 
City,Barnhill Westray Tower Oak McAfferty Ventana McCord Leeper Circle Riseley Rhodes Suttle Avondale Meffert Kalis Technology Belmont Stables Mocassin Cane Yorkmont 
Address,Property Address 1611 Provand 7632 S Linwood 4616 Wheatside 2191 Tresham 2947 Chaser Ridge 5043 Limey 7534 Sellars 5304 Ballinger 4378 Iron Gate 1930 Morningside 
