N/A,Property Name,City,State,Units,Property Type,Acquisition Date,N/A,N/A,N/A,N/A,NOI,N/A,Debt Service,DSCR,Market Value,N/A,N/A,Current Balance,Maturity Date,Rate Type,N/A,N/A,N/A,N/A,Lender,N/A
26,Chapel Ridge of Yukon,Yukon,OK,200,Affordable - LIHTC,2012,Yes,82.50%,"1,725,788","1,014,355","711,433",FY 2018 Unaudited,"663,960",1.07,"11,220,000", BOV / 2018 ,6.34%,"8,183,903",May-45,Fixed,No,SPR,New Affordable,n/a," Canadian County Home Finance Authority
(Pacific Servicing / Bancfirst) ",
27,"Commons, The",Portland,OR,172,Affordable - LIHTC,2017,Yes,0.00%,"1,825,618","747,430","1,078,188",FY 2018 Unaudited,"701,274",1.54,"21,523,460"," Acquisition price + 
total renovation cost ",5.01%,"15,439,100",Mar-34,Fixed,No,SPR,New Affordable,PNC, Freddie Mac (Pillar) ,
28,Crosspointe,Kennewick,WA,200,Conventional,2019,No,5.00%,,, -   ,,,,"28,800,000", Acquisition price ,,"20,131,000",26-Jul,n/a,n/a,SPR,Other,Blackstone, Freddie Mac (CBRE) ,
29,Crown Ridge of Edmond,Edmond,OK,160,Affordable - LIHTC,2012,Yes,82.50%,"1,480,501","866,857","613,644",FY 2018 Unaudited,"597,324",1.03,"10,663,000", BOV / 2018 ,5.75%,"7,354,120",May-45,Fixed,No,SPR,New Affordable,n/a," Oklahoma County Finance Authority
(Pacific Servicing / Bancfirst) ",
30,Dayton Meadows,Denver,CO,120,Affordable - LIHTC,2013,Yes,0.00%,"1,453,798","645,120","808,678",FY 2018 Unaudited,"623,064",1.3,"13,578,000"," Acquisition price +
total renovation cost ",5.96%,"10,594,927",Dec-50,Fixed,No,SPR,New Affordable,PNC, CHFA (Citibank) ,
31,Deer Run,Spokane,WA,222,Affordable - LIHTC,2018,Yes,15.40%,"2,213,869","1,184,311","1,029,558",FY 2018 Unaudited,"646,729",1.59,"17,200,000", Acquisition price ,5.99%,"14,050,000",28-Sep,Fixed,No,SPR,New Affordable,Pacific Life, Freddie Mac (Jones Lang LaSalle) ,
32,Douglas Trail,Rochester,MN,100,Affordable - LIHTC,2017,Yes,8.30%,"1,077,648","534,304","543,344",FY 2018 Unaudited,"317,545",1.71,"10,100,000", Acquisition price ,5.38%,"7,572,000",24-Nov,Variable,No,Evergreen,New Affordable,Enterprise, Freddie Mac (Bellwether) ,
33,Duet,Nashville,TN,219,Conventional,2016 / 2017,Yes,5.90%,"3,735,586","1,762,144","1,973,442",FY 2018 Unaudited,"1,539,444",1.28,"51,000,000", Acquisition price ,3.87%,"27,639,010",26-May,Fixed,No,SPR,PPM,Loma Linda, Guardian (Newmark) ,Property acquired in two phases (one each in 2016 and 2017)
34,Eagle Pointe,Spokane Valley,WA,141,Affordable - LIHTC,2017,Yes,16.40%,"1,316,204","680,798","635,406",FY 2018 Unaudited,"437,544",1.45,"12,850,000", Acquisition price ,4.94%,"10,500,000",28-Jan,Fixed,No,SPR,New Affordable,n/a, Freddie Mac (CBRE) ,
35,Echo Lake,Shoreline,WA,289,Conventional,2017,Yes,1.70%,"5,865,046","2,535,561","3,329,485",FY 2018 Unaudited,"2,014,500",1.65,"85,500,000", Acquisition price ,3.89%,"51,000,000",27-Jul,Fixed,No,SPR,PPM,Intercontinental, Metlife ,
36,Edge at Traverse Point,Henderson,NV,296,Conventional,2019,No,5.00%,,, -   ,,,,"60,680,000", Acquisition price ,,,,,,SPR,Other,Blackstone,,Closed on an all-cash basis
37,Element 170,Beaverton,OR,243,Conventional,2015,Yes,1.50%,"3,916,245","1,587,814","2,328,431",FY 2018 Unaudited,"1,002,381",2.32,"39,000,000", Acquisition price ,5.97%,"25,350,000",25-Mar,Fixed,No,SPR,Fund II,PCCP, Freddie Mac (Prudential) ,
38,Elk Meadows,Park City,UT,96,Affordable - LIHTC,2018,Yes,15.40%,"1,281,645","525,671","755,975",FY 2018 Unaudited,"513,920",1.47,"14,500,000", Acquisition price ,5.21%,"11,000,000",23-May,Fixed,Partial,SPR,New Affordable,Pacific Life, Key Bank ,
39,Franklin Commons,Franklin,OH,114,Affordable - LIHTC,2007,Yes,0.00%,"990,246","529,897","460,349",FY 2018 Unaudited,"238,464",1.93,"5,754,363", 8% cap ,8.00%,"3,151,193",Aug-39,Fixed,No,Evergreen,New Affordable,Boston Capital, City of Franklin (Huntington National Bank) ,
40,Garden Court,Lancaster,PA,264,Affordable - LIHTC,2009,No,40.40%,"2,819,945","1,433,912","1,386,033",FY 2018 Unaudited,"487,656",2.84,"17,325,413", 8% cap ,8.00%,"9,431,682",Dec-50,Fixed,No,Preservation Management,New Affordable,Evergreen, Berkeley Point Capital ,$150k fully forgivable second note
41,Glenn Arms,Washington,DC,57,Affordable - LIHTC,2017,Yes,0.00%,"1,029,321","475,862","553,459",FY 2018 Unaudited, -   ,,"14,537,000"," Acquisition price +
total renovation cost ",3.81%,"8,547,900","Sep-34
Feb-57",Variable,No,SPR,New Affordable,R4," Citibank
DC Dept. of Housing + Community Development ","Second note of $1,672,900 requires no payments for the first two years. Thereafter, payments shall equal 75% of Available Cash Flow, as defined in the loan documents."
42,Greens of Northglenn,Northglenn,CO,128,Affordable - LIHTC,2019,Yes,14.90%,,, -   ,,,,"14,500,000", Acquisition price ,,"11,600,000",29-Nov,Fixed,No,SPR,New Affordable,n/a, Fannie Mae (CBRE) ,
43,Grove at City Center,Aurora,CO,420,Conventional,2018,Yes,10.00%,,, -   ,,,,"80,500,000", Acquisition price ,,"56,350,000",28-Nov,Variable,No,SPR,Other,Oaktree, Freddie Mac (CBRE) ,Acquired in Q4 2018
44,Grove at Flynn's Crossing,Ashburn,VA,168,Affordable - LIHTC,2015,Yes,13.00%,"2,916,870","1,134,368","1,782,502",FY 2018 Unaudited,"1,015,400",1.76,"31,000,000", Acquisition price ,5.75%,"25,100,000",30-Mar,Fixed,No,SPR,New Affordable,n/a, Fannie Mae (Jones Lang LaSalle) ,
45,Hamptons at Woodland Pointe,Nashville,TN,240,Conventional,2018,Yes,6.00%,"3,545,839","1,425,756","2,120,083",FY 2018 Unaudited,"1,416,642",1.5,"45,275,000", Acquisition price ,4.68%,"31,864,000",28-Jun,Fixed,No,SPR,Other,Admiral, Fannie Mae (Bellwether) ,
46,Hana Place,Seattle,WA,160,Affordable - Lease-up,2019,Yes,15.40%,,,,,,,"47,100,000", Acquisition price ,,"32,500,000",Sep-31,,No,Greystar,New Affordable,Pacific Life, Fannie Mae (Jones Lang LaSalle) ,
47,Heartline,Portland,OR,218,Conventional - Lease-up,2013,Yes,3.50%, n/a , n/a , n/a ,n/a, n/a , n/a ,"80,000,000", Projected construction cost ,n/a,"40,946,907",19-Sep,Variable,Partial,SPR,Development,AIG, BBVA Compass ,Construction completed at the end of 2018; 73% leased as of YE 2018; office portion sold March 2019
48,Heatherstone,Kennewick,WA,455,Affordable - LIHTC,2018,Yes,0.00%,,, -   ,,,,"65,464,000"," Acquisition price +
total renovation cost ",,"43,000,000",Dec-35,Fixed,No,SPR,New Affordable,PNC, Freddie Mac (Jones Lang LaSalle) ,Acquired in Q4 2018; extensive LIHTC renovation underway; outstanding debt includes $6.57 million gap proceeds to be repaid from equity installments
49,Hedin House,Washington,DC,48,Affordable - LIHTC,2017,Yes,0.00%,"632,486","501,434","131,052",FY 2018 Unaudited, -   ,,"10,613,000"," Acquisition price +
total renovation cost ",1.23%,"10,334,089","Jan-20
Jul-57",Variable,No,SPR,New Affordable,R4," Citibank
DC Dept. of Housing + Community Development ","Second note of $1,134,089 requires no payments until 5/1/2019. Thereafter, payments shall equal 75% of Available Cash Flow, as defined in the loan documents."
50,Heights at Bear Creek,Redmond,WA,227,Conventional,2016,Yes,3.40%,"5,559,747","2,144,722","3,415,025",FY 2018 Unaudited,"1,494,600",2.28,"78,750,000", Acquisition price ,4.34%,"47,000,000",Jan-47,Fixed,No,SPR,Fund IV,CIGNA, Chase ,
51,Hemet Estates,Hemet,CA,80,Affordable - LIHTC,2016,No,0.00%,"1,140,417","628,647","511,770",FY 2018 Unaudited,"257,664",1.99,"8,201,597", Imputed acquisition price ,6.24%,"3,237,542","Apr-38
Apr-21",Fixed,No,John Stewart,New Affordable,Reiner, California Housing Finance Agency ,"Third note is payable to the original seller, does not accrue interest, and is payable only at maturity"
52,"Henley, The",Suisun City,CA,240,Conventional,2019,Yes,3.80%,,, -   ,,,,"45,500,000", Acquisition price ,,"32,534,707",25-Mar,Fixed,No,SPR,PPM,Liberty Mutual, Freddie Mac (Key Bank / HFF) ,
53,Highlands at Red Hawk,Castle Rock,CO,56,Conventional,2018,Yes,100.00%,,, -   ,,,,"16,500,000", Acquisition price ,,"10,000,000",26-Apr,Fixed,No,SPR,Other,n/a, Union Bank ,Acquired in Q4 2018
54,Hinton House,Hinton,WV,103,Affordable,1983,No,23.10%,"945,092","610,131","334,961",FY 2017 Audited,"130,740",2.56,"3,349,610", 10% cap ,10.00%,"3,652,173",May-39,Fixed,No,First American Management,Legacy,n/a, Walker & Dunlop ,Second note payable from and to the extent of surplus cash
55,Holiday Acres,Latrobe,PA,150,Affordable,1975,No,23.30%,"1,405,496","1,021,548","383,948",FY 2018 Audited,"238,572",1.61,"3,839,480", 10% cap ,10.00%,"4,347,582",Nov-42,Fixed,No,Crossgates,Legacy,n/a, Red Capital Group ,
56,Indio Gardens,Indio,CA,151,Affordable - LIHTC,2016,No,0.00%,"1,680,632","869,083","811,549",FY 2018 Unaudited,"731,808",1.11,"14,569,784", Imputed acquisition price ,5.57%,"5,367,740","Jul-38
Sep-23",Fixed,No,John Stewart,New Affordable,Reiner, California Housing Finance Agency (Citibank) ,
57,Insignia,Bremerton,WA,162,Conventional,2018,Yes,5.40%,"2,636,357","820,480","1,815,877",FY 2018 Unaudited,"848,169",2.14,"29,500,000", Acquisition price ,6.16%,"19,750,000",28-Sep,Fixed,No,SPR,Other,Loma Linda, Fannie Mae (Northmarq) ,
58,Janus,Seattle,WA,105,Conventional,2013,Yes,14.00%,"2,696,934","764,025","1,932,909",FY 2018 Unaudited,"1,362,984",1.42,"40,800,000", Appraisal / 2017 ,4.74%,"24,677,977",24-Oct,Fixed,No,SPR,Development,Private Investor, Union Bank ,
59,Kinects,Seattle,WA,356,Conventional - Lease-up,2015,Yes,7.00%, n/a , n/a , n/a ,n/a, n/a , n/a ,"151,700,000", Projected construction cost ,n/a,"95,400,000",28-Jun,Fixed,No,SPR,Development,OSTRS, Pacific Life ,Construction completed in 2017; 88% leased as of YE 2018
60,Lakeside Manor / Lakeside Village,Coeur d'Alene,ID,126,Affordable - LIHTC,2017,Yes,0.00%,"1,004,822","610,837","393,985",FY 2018 Unaudited,"474,456",0.83,"11,551,000"," Acquisition price +
total renovation cost ",3.41%,"8,151,105",May-33,Fixed,No,SPR,New Affordable,PNC, Citibank ,
61,Lakeview I,Lake Elsinore,CA,88,Affordable - LIHTC,2016,No,0.00%,"901,921","532,148","369,773",FY 2018 Unaudited,"310,536",1.19,"6,499,603", Imputed acquisition price ,5.69%,"5,607,353","Oct-42
Oct-60",Fixed,No,John Stewart,New Affordable,Reiner," California Housing Finance Agency (US Bank / Pru)
US Department of Agriculture ",Second note subject to a Debt Deferral Agreement with no payments due until 2030
62,Lakeview II,Lake Elsinore,CA,64,Affordable - LIHTC,2016,No,0.00%,"875,449","442,683","432,766",FY 2018 Unaudited,"264,912",1.63,"5,680,046", Imputed acquisition price ,7.62%,"4,765,754","Oct-47
Sep-66",Fixed,No,John Stewart,New Affordable,Reiner," California Housing Finance Agency (US Bank / Pru)
City of Lake Elsinore ",Second note is also collateralized by Meadowview II and is payable from and to the extent of surplus cash
63,Legacy at Pratt Park,Seattle,WA,248,Conventional,2019,Yes,2.80%,,, -   ,,,,"91,750,000", Acquisition price ,,"63,000,000",24-Jul,Variable,No,SPR,Fund V,Rockwood, Metlife ,
64,Lincoln Terrace,Denver,CO,75,Affordable - LIHTC,2012,Yes,0.00%,"699,458","475,356","224,102",FY 2018 Unaudited,"195,300",1.15,"5,500,000", Imputed acquisition price ,4.07%,"4,616,394",Oct-46,Fixed,No,SPR,New Affordable,Alliant, HUD (Dougherty Mortgage) ,Second and third notes are payable from and to the extent of surplus cash
65,Lodge on 84th,Federal Heights,CO,300,Conventional,2017,Yes,20.00%,"4,392,802","1,642,204","2,750,598",FY 2018 Unaudited,"1,518,557",1.81,"46,500,000", Acquisition price ,5.92%,"37,200,000",25-Jan,Variable,No,SPR,Other,Oaktree, Freddie Mac (Prudential) ,
66,Lofts at 7100,Las Vegas,NV,379,Conventional,2019,Yes,2.30%,,, -   ,,,,"80,000,000", Acquisition price ,,"55,068,076",26-May,Fixed,No,SPR,Fund V / PPM,RGA, Fannie Mae (Newmark) ,
67,Mallside Forest,Charlottesville,VA,160,Affordable - LIHTC,2017,Yes,10.80%,"1,908,961","858,594","1,050,367",FY 2018 Unaudited,"545,632",1.93,"16,700,000", Acquisition price ,6.29%,"13,387,000",25-Jan,Fixed,No,SPR,New Affordable,n/a, Freddie Mac (Jones Lang LaSalle) ,
68,Marcella,Arvada,CO,206,Affordable - LIHTC,2016,Yes,0.00%,"2,613,807","980,926","1,632,881",FY 2018 Unaudited,"1,167,894",1.4,"26,551,000"," Acquisition price +
total renovation cost ",6.15%,"20,282,751",Feb-32,Fixed,No,SPR,New Affordable,PNC, Freddie Mac / CHFA (Citi) ,
69,Marq on Martin,Lacey,WA,248,Conventional,2018,Yes,5.10%,"4,388,578","1,390,341","2,998,238",FY 2018 Unaudited,"1,743,889",1.72,"54,500,000", Acquisition price ,5.50%,"40,000,000",29-Jan,Fixed,No,SPR,Other,Loma Linda, Freddie Mac (HFF) ,
70,Martinique Bay,Henderson,NV,256,Conventional,2017,Yes,6.90%,"3,661,623","1,464,576","2,197,047",FY 2018 Unaudited,"1,314,183",1.67,"42,750,000", Acquisition price ,5.14%,"34,200,000",24-Dec,Fixed,No,SPR,Fund IV,Aetna, Freddie Mac (CBRE) ,
71,Massanutten Manor,Strasburg,VA,116,Affordable - LIHTC,2018,Yes,0.00%,,, -   ,,,,"11,202,000"," Acquisition price + 
total renovation cost ",,"8,292,000",Jan-35,Fixed,No,SPR,New Affordable,PNC, Fannie Mae (PNC) ,Acquired in Q4 2018
72,Meadowview I,Perris,CA,88,Affordable - LIHTC,2016,No,0.00%,"828,964","466,867","362,097",FY 2018 Unaudited,"294,780",1.23,"6,499,603", Imputed acquisition price ,5.57%,"6,779,259","Oct-42
Oct-60",Fixed,No,John Stewart,New Affordable,Reiner," California Housing Finance Agency (US Bank / Pru)
US Department of Agriculture ",Second and third notes subject to a Debt Deferral Agreement with no payments due until 2030
73,Meadowview II,Perris,CA,76,Affordable - LIHTC,2016,No,0.00%,"937,683","455,467","482,216",FY 2018 Unaudited,"327,000",1.47,"6,745,055", Imputed acquisition price ,7.15%,"5,859,300","Oct-47
Sep-66",Fixed,No,John Stewart,New Affordable,Reiner," California Housing Finance Agency (US Bank / Pru)
City of Lake Elsinore ",Second note is also collateralized by Lakeview II and is payable from and to the extent of surplus cash
74,Mission Gardens,Santa Cruz,CA,50,Affordable - LIHTC,2016,No,0.00%,"1,259,001","479,273","779,728",FY 2018 Unaudited,"237,732",3.28,"10,101,507", Imputed acquisition price ,7.72%,"5,811,131","Apr-41
Apr-64",Fixed,No,John Stewart,New Affordable,Reiner," California Housing Finance Agency (Union Bank / Pru)
Redevelopment Agency / City of Santa Cruz ",Second and third notes payable from and to the extent of surplus cash
75,Montecito Village,Ramona,CA,70,Affordable - LIHTC,2016,No,0.00%,"1,284,180","611,809","672,371",FY 2018 Unaudited,"313,632",2.14,"11,221,856", Imputed acquisition price ,5.99%,"5,658,150",Apr-43,Fixed,No,John Stewart,New Affordable,Reiner, California Housing Finance Agency (Union Bank / Pru) ,
76,Navigator Villas,Pasco,WA,176,Conventional,2016,Yes,20.00%,"2,360,218","1,031,848","1,328,370",FY 2018 Unaudited,"646,739",2.05,"28,500,000", Contract sales price ,4.66%,"14,800,000",28-Jun,Fixed,No,SPR,Other,Rubino Family, Fannie Mae (Wells Fargo) ,
77,Note 16,Nashville,TN,86,Conventional,2016,Yes,5.90%,"1,629,373","711,065","918,308",FY 2018 Unaudited,"422,064",2.18,"19,325,000", Acquisition price ,4.75%,"11,469,221",26-May,Fixed,No,SPR,PPM,Loma Linda, Guardian (Newmark) ,
78,On the Green,Mukilteo,WA,294,Conventional,2016,Yes,1.30%,"5,856,759","2,180,186","3,676,573",FY 2018 Unaudited,"2,273,477",1.62,"65,250,000", Acquisition price ,5.63%,"42,171,788",23-Jun,Fixed,No,SPR,Fund IV,Intercontinental, Freddie Mac (Northmarq) ,
79,One Jefferson,Lake Oswego,OR,347,Conventional,2016,Yes,1.30%,"6,675,674","2,989,084","3,686,590",FY 2018 Unaudited,"2,373,417",1.55,"86,000,000", Appraisal / 2019 ,4.29%,"55,000,000",22-Oct,Fixed,No,SPR,Fund IV,Pacific Life, New York Life ,
80,Orchard Club,Las Vegas,NV,342,Affordable - LIHTC,2017,Yes,11.10%,"3,170,386","1,399,168","1,771,218",FY 2018 Unaudited,"949,608",1.87,"27,200,000", Acquisition price ,6.51%,"21,780,000",Mar-32,Fixed,No,SPR,New Affordable,n/a, Fannie Mae (Jones Lang LaSalle) ,
81,Overlook at Anaheim Hills,Anaheim Hills,CA,259,Conventional,2015,Yes,5.40%,"4,428,419","1,324,267","3,104,152",FY 2018 Unaudited,"1,711,180",1.81,"64,030,000", Appraisal / 2018 ,4.85%,"38,418,000",25-Dec,Fixed,No,SPR,Fund II,Loma Linda, Freddie Mac (Prudential) ,
82,Overlook at Lakemont,Bellevue,WA,400,Conventional,2016,Yes,6.80%,"9,051,128","3,874,956","5,176,172",FY 2018 Unaudited,"4,082,692",1.27,"118,000,000", Acquisition price ,4.39%,"85,000,000",20-Jun,Variable,No,SPR,Fund IV,Pacific Life, Metlife ,
83,Palm Springs Pointe,Palm Springs,CA,116,Affordable - LIHTC,2016,No,0.00%,"1,378,099","680,788","697,311",FY 2018 Unaudited,"557,268",1.25,"11,265,807", Imputed acquisition price ,6.19%,"5,582,825","Oct-38
Jan-27
Dec-28",Fixed,No,John Stewart,New Affordable,Reiner, California Housing Finance Agency (Citibank) ,"Third note is payable to the original seller, does not accrue interest, and is payable only at maturity"
84,Panorama,Seattle,WA,179,Conventional,2014,Yes,8.10%,"7,036,848","2,595,249","4,441,599",FY 2018 Unaudited,"4,086,703",1.09,"114,000,000", Last offer / 2018 ,3.90%,"93,000,000",20-Sep,Variable,No,SPR,Fund II,Lubert Adler, KKR ,
85,Parkview,Sacramento,CA,97,Affordable - LIHTC,2016,No,0.00%,"1,180,691","653,641","527,050",FY 2018 Unaudited,"491,028",1.07,"9,755,059", Imputed acquisition price ,5.40%,"4,569,129","Oct-39
Oct-21
Nov-23",Fixed,No,John Stewart,New Affordable,Reiner, California Housing Finance Agency (Citibank) ,"Third note is payable to the original seller, does not accrue interest, and is payable only at maturity"
86,Pavilions on Central,Phoenix,AZ,254,Conventional,2018,Yes,10.00%,"4,348,253","1,644,803","2,703,450",FY 2018 Unaudited,"1,501,016",1.8,"59,000,000", Acquisition price ,4.58%,"41,030,000",28-Jun,Variable,No,SPR,Other,Oaktree, Freddie Mac (CBRE) ,
87,Peloton,Portland,OR,265,Conventional,2015,Yes,19.00%,"6,060,384","2,333,076","3,727,308",FY 2018 Unaudited,"2,642,509",1.41,"98,520,000", Appraisal / 2018 ,3.78%,"59,100,000",25-Aug,Fixed,No,SPR,Development,AIG, Union Bank ,
88,Pepsi PDX,Portland,OR,,Land,2017,Yes,17.50%, n/a , n/a , n/a ,n/a, n/a , n/a ,"27,000,000", Acquisition price ,n/a, -   ,,n/a,n/a,n/a,Development,Jade,,
89,Plains Village,Plainview,TX,41,Affordable,1979,No,28.40%,"272,297","226,747","45,550",FY 2016 Audited,"40,440",1.13,"660,000", Appraisal / 2014 ,6.90%,"219,980",20-Oct,Fixed,No,,Legacy,n/a, First United Bank ,
