N/A,Property Name,N/A,City,State,N/A,Property Type,Units,N/A,N/A,Lender,Current Balance,Maturity Date,NOI,N/A,N/A,Debt Service,DSCR,LTV,All-In Rate,Occupancy,N/A,N/A
3530,Mira Bella,Mira Bella Apartments,San Diego,CA,"TREA SH Mira Bella, LLC",Mid-rise,289,2010,"159,800,000",Wells Fargo/Fannie Mae (TREA),"54,070,623",12/1/2025,"5,392,916", - ,"1,419,354","1,419,354",3.8,33.80%,2.63%,92%,20.00%,
,Brockman Lofts,The Brockman Lofts,Los Angeles,CA,"TREA SH Brockman, LLC",High-rise,81,2012,"46,500,000",Wells Fargo/Fannie Mae (TREA),"22,188,114",12/1/2025,"1,742,610", - ,"582,438","582,438",2.99,47.70%,2.63%,96%,20.00%,
655,Tallyn's Reach,The Sanctuary at Tallyn's Reach,Aurora,CO,"TREA SH Tallyn's Reach, LLC",Garden,510,2011,"173,400,000",Wells Fargo/Fannie Mae (TREA),"76,946,807",12/1/2025,"6,761,669", - ,"2,019,854","2,019,854",3.35,44.40%,2.63%,95%,20.00%,
5015,Reserve at Beachline,Reserve at Beachline,Orlando,FL,"TREA SH Reserve at Beachline, LLC",Garden,348,2007,"83,400,000",Wells Fargo/Fannie Mae (TREA),"35,552,672",12/1/2025,"3,439,407", - ,"933,258","933,258",3.69,42.60%,2.63%,95%,20.00%,
6515,Highlands at Dearborn,Highlands at Dearborn,Peabody,MA,"TREA SH Highlands at Dearborn, LLC",Garden,446,2007,"202,900,000",Wells Fargo/Fannie Mae (TREA),"79,464,574",12/1/2025,"8,657,852", - ,"2,085,945","2,085,945",4.15,39.20%,2.63%,92%,20.00%,
4011,Promenade Park,Promenade Park,Charlotte,NC,"TREA SH Promenade, LLC",Garden,252,2002,"72,200,000",Wells Fargo/Fannie Mae (TREA),"25,979,200",12/1/2025,"3,194,557", - ,"681,954","681,954",4.68,36.00%,2.63%,93%,20.00%,
4003,Chancery Village at the Park,Chancery Village at the Park,Raleigh,NC,"TREA SH Chancery Village, LLC",Garden/Townhouse,276,2011,"63,800,000",Wells Fargo/Fannie Mae (TREA),"25,752,648",12/1/2025,"2,637,987", - ,"676,007","676,007",3.9,40.40%,2.63%,96%,20.00%,
,Silos at South End,Silos Southend,Charlotte,NC,"TREA SH Silos South End, LLC",Garden/Mid-rise,390,2014,"126,100,000",Wells Fargo/Fannie Mae (TREA),"51,851,373",12/1/2025,"5,614,466", - ,"1,361,099","1,361,099",4.12,41.10%,2.63%,96%,20.00%,
1043,Montelena,Montelena Apartments,Grapevine,TX,"TREA SH Montelena, LLC",Garden,256,1998,"56,000,000",Wells Fargo/Fannie Mae (TREA),"20,267,851",12/1/2025,"2,289,265", - ,"532,031","532,031",4.3,36.20%,2.63%,95%,20.00%,
1046,Ranch,The Ranch Apartments,Austin,TX,"TREA SH Ranch, LLC",Mid-rise,348,2001,"68,700,000",Wells Fargo/Fannie Mae (TREA),"23,397,614",12/1/2025,"2,690,430", - ,"614,187","614,187",4.38,34.10%,2.63%,92%,20.00%,
,District at Greenbriar,District at Greenbriar,Houston,TX,"TREA SH District at Greenbriar, LLC",Mid-rise,319,2014,"64,700,000",Wells Fargo/Fannie Mae (TREA),"31,343,870",12/1/2025,"2,629,085", - ,"822,777","822,777",3.2,48.40%,2.63%,96%,20.00%,
1525,The Citrine,The Citrine Apartments,Scottsdale,AZ,"TREA SH Citrine, LLC",Garden,312,2016,"135,300,000",Wells Fargo/Fannie Mae (TREA),"43,184,654",12/1/2025,"5,408,193", - ,"1,133,597","1,133,597",4.77,31.90%,2.63%,97%,20.00%,
,TOTALS - TREA,,,,,,"3,827",,"$1,252,800,000 ",,"$490,000,000 ",,"$50,458,437 ", $- ,"$12,862,500 ","$12,862,500 ",3.92,39.10%,,,,
,Avion on Legacy,Avion on Legacy,Phoenix,AZ,Nuveen - USCMF,Garden,322,2015,"96,600,000",JP Morgan (USCMF),"43,485,296",,"4,110,669", - ,"756,644","756,644",5.43,45.00%,1.74%,97%,,Simpson owns approximately 77% of the shares in 
4511,Gramercy at Buckhead,Gramercy at Buckhead,Atlanta,GA,Nuveen - USCMF,Mid-rise,249,2007,"56,200,000",JP Morgan (USCMF),"25,298,899",,"2,086,881", - ,"440,201","440,201",4.74,45.00%,1.74%,93%,,   the USCMF fund (as of 9/30/20)
,Marshall Park,Marshall Park,Raleigh,NC,Nuveen - USCMF,Mid-Rise,384,2015,"81,800,000",JP Morgan (USCMF),"36,822,953",,"3,479,460", - ,"640,719","640,719",5.43,45.00%,1.74%,91%,,
2565,Matisse,Matisse Apartments,Portland,OR,Nuveen - USCMF,Mid-Rise/Comm'l,293,2011,"82,000,000",JP Morgan (USCMF),"36,912,984",,"3,005,760", - ,"642,286","642,286",4.68,45.00%,1.74%,91%,,
,Stoneledge,Stoneledge Apartments,Grapevine,TX,Nuveen - USCMF,Garden,312,2011,"72,200,000",JP Morgan (USCMF),"32,501,433",,"3,347,129", - ,"565,525","565,525",5.92,45.00%,1.74%,91%,,
,District at Washington,District at Washington,Houston,TX,Nuveen - USCMF,Garden,396,2014,"74,900,000",JP Morgan (USCMF),"33,716,860",,"2,204,809", - ,"586,673","586,673",3.76,45.00%,1.74%,92%,,
4635,Tyson's Corner,The Reserve at Tyson's Corner Apartment Homes,Vienna,VA,Nuveen - USCMF,Mid-rise,478,2008/2010,"159,000,000",JP Morgan (USCMF),"71,575,177",,"6,654,743", - ,"1,245,408","1,245,408",5.34,45.00%,1.74%,93%,,
3197,Metro 112,Metro 112 Apartments,Bellevue,WA,Nuveen - USCMF,Mid-High-Rise,374,2010/2018,"166,000,000",JP Morgan (USCMF),"74,726,285",,"6,477,348", - ,"1,300,237","1,300,237",4.98,45.00%,1.74%,93%,,
,Boulder Creek,Boulder Creek Apartments,Sammamish,WA,Nuveen - USCMF,Garden,204,2001,"89,200,000",JP Morgan (USCMF),"40,154,124",,"3,710,640", - ,"698,682","698,682",5.31,45.00%,1.74%,92%,,
,Flux,Flux Apartments,Minneapolis,MN,Nuveen - USCMF,Mid-rise,216,2012,"53,100,000",JP Morgan (USCMF),"23,903,408",,"2,359,838", - ,"415,919","415,919",5.67,45.00%,1.74%,92%,,
3014,Junction Flats,Junction Flats Apartments,Minneapolis,MN,Nuveen - USCMF,Mid-rise,182,2014,"48,300,000",JP Morgan (USCMF),"21,742,648",,"2,039,619", - ,"378,322","378,322",5.39,45.00%,1.74%,93%,,
,Vinings Lofts and Apartments,Vinings Lofts and Apartments,Atlanta,GA,Nuveen - USCMF,Mid-rise,269,2018,"90,900,000",JP Morgan (USCMF),"40,919,394",,"3,548,200", - ,"711,997","711,997",4.98,45.00%,1.74%,89%,,
,Dwell at McEwen,Dwell at McEwen,Franklin,TN,Nuveen - USCMF,Mid-rise,370,2009/2014,"94,500,000",JP Morgan (USCMF),"42,539,964",,"3,898,100", - ,"740,195","740,195",5.27,45.00%,1.74%,95%,,
,Lake Vue,Lake Vue,Orlando,FL,Nuveen - USCMF,Garden,196,2015,"46,200,000",JP Morgan (USCMF),"20,797,316",,"1,801,800", - ,"361,873","361,873",4.98,45.00%,1.74%,95%,,
,Glenhaven at Star Ranch,Glenhaven at Star Ranch,Hutto,TX,Nuveen - USCMF,Garden,402,2014,"73,200,000",JP Morgan (USCMF),"32,951,591",,"2,928,000", - ,"573,358","573,358",5.11,45.00%,1.74%,93%,,
,Mallory Square,Mallory Square,Rockville,MD,Nuveen - USCMF,Mid-Rise/Comm'l,365,2015,,JP Morgan (USCMF),,,,,,,,,,,,
,Joule la Floresta,Joule la Floresta,Brea,CA,Nuveen - USCMF,Mid-rise,204,2018,,JP Morgan (USCMF),,,,,,,,,,,,
,Larq Henderson Apartments,Larq Henderson Apartments,Dallas,TX,Nuveen - USCMF,Mid-rise,321,2017,,JP Morgan (USCMF),,,,,,,,,,,,
,Pace Apartments,Pace Apartments,Las Vegas,NV,Nuveen - USCMF,Garden,192,2020,,JP Morgan (USCMF),,,,,,,,,,,,
,LaVida Apartments,LaVida Apartments,Miami,FL,Nuveen - USCMF,Mid-rise,272,2019,,JP Morgan (USCMF),,,,,,,,,,,,
,Stella - Dallas Apartments,Stella - Dallas Apartments,Dallas,TX,Nuveen - USCMF,Mid-rise,210,2016,,JP Morgan (USCMF),,,,,,,,,,,,
,Briley Apartments,Briley Apartments,Matthews,NC,Nuveen - USCMF,Mid-rise,359,2021,,JP Morgan (USCMF),,,,,,,,,,,,
,The District at Boynton,The District at Boynton,Boynton Beach,FL,Nuveen - USCMF,Garden,350,2017,,JP Morgan (USCMF),,,,,,,,,,,,
